Epoch1	Loss4.148009119033813	Accuracy0.12411
Epoch2	Loss3.242320228934288	Accuracy0.25495
Epoch3	Loss2.7669415571689604	Accuracy0.34097
Epoch4	Loss2.3561506977677347	Accuracy0.42371
Epoch5	Loss1.976488840341568	Accuracy0.49894
Epoch6	Loss1.6018167133033276	Accuracy0.58098
Epoch7	Loss1.233629330843687	Accuracy0.66447
Epoch8	Loss0.8814346394240856	Accuracy0.753
Epoch9	Loss0.5923396171703935	Accuracy0.82837
Epoch10	Loss0.39492410656064747	Accuracy0.88346
Epoch11	Loss0.28226886579580607	Accuracy0.91661
Epoch12	Loss0.19685870900098235	Accuracy0.94066
Epoch13	Loss0.1453555582179688	Accuracy0.95617
Epoch14	Loss0.11521939988713711	Accuracy0.96481
Epoch15	Loss0.09191650084301364	Accuracy0.97272
Epoch16	Loss0.074848676051246	Accuracy0.97807
Epoch17	Loss0.05276164786837762	Accuracy0.98498
Epoch18	Loss0.04112301144306548	Accuracy0.98856
Epoch19	Loss0.04062316061154706	Accuracy0.98814
Epoch20	Loss0.03230626142393157	Accuracy0.99125
Epoch21	Loss0.02228087326104287	Accuracy0.99409
Epoch22	Loss0.019995260633804718	Accuracy0.99436
Epoch23	Loss0.017605946522220618	Accuracy0.99554
Epoch24	Loss0.01601535196817713	Accuracy0.99592
Epoch25	Loss0.013918845349049662	Accuracy0.99633
Epoch26	Loss0.012642552094312122	Accuracy0.99661
